Facility Id,Facility Name,FRS Id,City,State,Zip Code,Latest Reporting Year,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %
1007937,ARCONIC DAVENPORT LLC,110070291317.0,BETTENDORF,IA,52722,2016,4879 STATE STREET,SCOTT COUNTY,41.53792,-90.46649,331315.0,C,Metals,True,False,,,,ALCOA INC,100.0
1006797,ARKEMA INC CLEAR LAKE,110067040703.0,PASADENA,TX,77507,2016,9502 BAYPORT BLVD STE B,HARRIS COUNTY,29.625819,-95.061592,325110.0,C,Chemicals,True,False,,,,ARKEMA AMERICAS,100.0
1002190,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,110000503722.0,ALVIN,TX,77512,2016,,BRAZORIA COUNTY,29.2567,-95.2144,325199.0,"C,X",Chemicals,True,False,,,,ASCEND PERFORMANCE MATERIALS LLC,100.0
1012480,Aera Energy Lockwood,110070082316.0,Maricopa,CA,93525,2016,29235 Highway 33,KERN COUNTY,35.0892,-119.4069,211111.0,C,Petroleum and Natural Gas Systems,True,False,,,,SHELL OIL CO,51.8
1002365,Ag Processing Inc,110070244162.0,Sergeant Bluff,IA,51054,2016,2753 Port Neal Circle,WOODBURY COUNTY,42.397632,-96.301343,311222.0,C,Other,True,False,,,,AG PROCESSING INC,100.0
1007208,Alamo San Antonio Cement Plant,110041000494.0,San Antonio,TX,78266,2016,6055 West Green Mountain Road,BEXAR COUNTY,29.61214,-98.375075,327999.0,H,Minerals,True,False,,,,ALAMO CEMENT CO,100.0
1011361,All American Asphalt,110001154535.0,Corona,CA,92879,2016,1776 All American Way,RIVERSIDE COUNTY,33.86716,-117.52413,324121.0,C,Petroleum and Natural Gas Systems,True,False,,,,ALL AMERICAN ASPHALT,100.0
1007750,"Axiall, LLC",110002054482.0,WESTLAKE,LA,70669,2016,1600 VCM PLANT ROAD,CALCASIEU PARISH,30.252222,-93.284444,325110.0,"C,X",Chemicals,True,False,,,,AXIALL CORP,100.0
1000668,B C Cobb,110000411037.0,MUSKEGON,MI,49445,2016,151 N CAUSEWAY,Muskegon,43.2542,-86.2417,221112.0,"C,D",Power Plants,True,False,,,,CMS ENERGY CORP,100.0
1004208,BASF CORP - GEISMAR SITE,110000597364.0,GEISMAR,LA,70734,2016,8404 RIVER ROAD HIGHWAY 75,ASCENSION PARISH,30.1979,-91.0035,325199.0,"C,X",Chemicals,True,False,,,,BASF CORP,100.0
1006217,BLACK HILLS CORPORATION - BEN FRENCH POWER PLANT,110012375599.0,RAPID CITY,SD,57702,2016,409 DEADWOOD AVENUE,PENNINGTON COUNTY,44.0874,-103.2627,221112.0,C,Power Plants,True,False,,,,BLACK HILLS CORP,100.0
1007948,BONDI ISLAND LANDFILL,110071160810.0,AGAWAM,MA,1001,2016,,HAMPDEN COUNTY,42.09104,-72.59748,562212.0,HH,Waste,True,False,,,,CITY OF SPRINGFIELD DEPARTMENT OF PUBLIC WORKS,100.0
1006898,Bienville Compressor Station,110071159704.0,Castor,LA,71016,2016,,BIENVILLE PARISH,32.2961,-93.0547,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,True,False,,,,ENERGY TRANSFER PARTNERS LP,100.0
1005936,CANNISNIA CMP STN,110071161733.0,WILLIAMS,LA,71019,2016,,RED RIVER PARISH,32.2173,-93.5408,486210.0,"C,W-NGTC",Petroleum and Natural Gas Systems,True,False,,,,ENERGY TRANSFER PARTNERS LP,100.0
1005067,ANR Pipeline Lincoln Gas Storage Facility,110002027869.0,LAKE GEORGE,MI,48633,2016,3991 HICKORY RD,CLARE COUNTY,43.942122,-84.93902,486210.0,"C,W-UNSTG",Petroleum and Natural Gas Systems,True,False,,,,ANR PIPELINE CO,100.0
1007215,BOWIE NO. 2 MINE,110008061088.0,PAONIA,CO,81428,2016,43659 Bowie Road,DELTA COUNTY,38.93268,-107.54603,212112.0,FF,Other,True,False,,,,BOWIE RESOURCE PARTNERS LLC,100.0
1005505,"Beaulieu Group, LLC Plant 830",110041528326.0,Dalton,GA,30722,2016,1510 Coronet Drive,WHITFIELD COUNTY,34.8003,-84.96616,314110.0,C,Other,True,False,,,,BEAULIEU GROUP LLC,100.0
1001187,Belews Creek,110070834413.0,BELEWS CREEK,NC,27052,2016,3195 PINE HALL ROAD,Stokes,36.2811,-80.0603,221112.0,"C,D",Power Plants,True,False,,,,DUKE ENERGY CORP,100.0
1010280,Black Stallion No. 1,110071160771.0,Wharton,WV,25208,2016,33207 Pond Fork Road,BOONE COUNTY,37.83178,-81.669253,212112.0,FF,Other,True,False,,,,BLACK HAWK MINING LLC,100.0
1003806,Bluebonnet Landfill,110043785142.0,Houston,TX,77078,2016,10500 Beaumont Highway,HARRIS COUNTY,29.81668,-95.24737,562212.0,HH,Waste,True,False,,,,WASTE MANAGEMENT INC,100.0
1004316,Bristol-Myers Squibb,110063095662.0,Wallingford,CT,6492,2016,5 Research Parkway,NEW HAVEN COUNTY,41.48027,-72.76475,325412.0,C,Chemicals,True,False,,,,BRISTOL-MYERS SQUIBB CO,100.0
1003872,Brooksville North Cement Plant,110017409669.0,BROOKSVILLE,FL,34614,2016,16301 Ponce De Leon Blvd,HERNANDO COUNTY,28.643555,-82.47203,327310.0,H,Minerals,True,False,,,,CEMEX INC,100.0
1000200,Butler-Warner Generation Plant,110071159570.0,FAYETTEVILLE,NC,28312,2016,2274 CUSTER AVE,Cumberland,35.0986,-78.8294,221112.0,D,Power Plants,True,False,,,,PUBLIC WORKS COMMISSION OF THE CITY OF FAYETTEVILLE,100.0
1003095,CABOT CORP PAMPA DEVEL OPMENT & MANUFACTURING CENTER,110071161083.0,PAMPA,TX,79066,2016,5 MILES W. ON U.S. HWY. 60,CARSON COUNTY,35.47572,-101.08602,325182.0,"C,X",Chemicals,True,False,,,,CABOT CORP,100.0
