Direct Point Emitters,Facility Id,Facility Name,GHG Quantity Associated with CO2 Supply ,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Produced,Gathering & Boosting,LDC - Direct Emissions,Onshore Oil & Gas Prod.,SF6 from Elec. Equip.,Transmission Pipelines,Year,Parent Company,Parent Ownership %,Total Direct Emissions,Total Supplier Emissions
73102.55,1003516,Knox County Landfill,,,,,,,,,,,,,2015,KNOX COUNTY LANDFILL,100.0,73102.55,0.0
,1003517,TULSTAR PRODUCTS INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2015,TULSTAR PRODUCTS INC,100.0,0.0,0.0
87578.878,1003518,EMERALD KALAMA CHEMICAL LLC,,,,,,,,,,,,,2015,EMERALD PERFORMANCE MATERIALS LLC,100.0,87578.878,0.0
65878.58,1003520,Owens Corning - Amarillo Plant,,,,,,,,,,,,,2015,OWENS CORNING INC,100.0,65878.58,0.0
25781.1,1003521,FREY FARM-CRESWELL LDFL,,,,,,,,,,,,,2015,LANCASTER COUNTY SOLID WASTE MANAGEMENT AUTHORITY,100.0,25781.1,0.0
46801.924,1003523,CLEVELAND-CLIFFS PLATE LLC/CONSHOHOCKEN PLT,,,,,,,,,,,,,2015,ARCELORMITTAL USA,100.0,46801.924,0.0
,1003524,City of Summerville,0.0,0.0,0.0,52590.2,0.0,0.0,0.0,,,,,,2015,CITY OF SUMMERVILLE,100.0,0.0,52590.2
22853.93,1003525,"ANHEUSER-BUSCH, INC. NEWARK BREWERY",,,,,,,,,,,,,2015,ANHEUSER-BUSCH INBEV,100.0,22853.93,0.0
73402.468,1003526,WEDRON COMPLEX (WEDRON SILICA CO & TECHNISAND WEDRON),,,,,,,,,,,,,2015,FAIRMOUNT SANTROL INC ,100.0,73402.468,0.0
18053.08,1003527,KaMin LLC-Sandersville Plant,,,,,,,,,,,,,2015,KAMIN HOLDCO LLC,100.0,18053.08,0.0
33875.25,1003528,Georgetown County Landfill,,,,,,,,,,,,,2015,GEORGETOWN COUNTY SOUTH CAROLINA,100.0,33875.25,0.0
,1003529,LINDE ELECTRONICS AND SPECIALTY GASES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2015,LINDE GAS NORTH AMERICA LLC,100.0,0.0,0.0
93047.354,1003530,POINT COMFORT GAS PLANT,0.0,0.0,4198616.4,0.0,0.0,0.0,0.0,,,,,,2015,FORMOSA PLASTICS CORP USA,100.0,93047.354,4198616.4
33507.49,1003531,Eastern Gas Transmission and Storage - Oakford and Rock Springs Stations (Stor and Tran),,,,,,,,,,,,,2015,DOMINION RESOURCES INC; SPECTRA ENERGY,50.0; 50.0,33507.49,0.0
11142.45,1003532,TAUNTON SANITARY LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,11142.45,0.0
212331.56,1003533,Borger Carbon Black Plant,,,,,,,,,,,,,2015,ORION ENGINEERED CARBONS LLC,100.0,212331.56,0.0
,1003534,Sevier County Utility District,0.0,0.0,0.0,97431.7,0.0,0.0,0.0,,,,,,2015,SEVIER COUNTY UTILITY DISTRICT,100.0,0.0,97431.7
58364.058,1003535,"Eastern Gas Transmission and Storage - Hastings Complex (Proc,Tran)",0.0,0.0,957867.8,0.0,0.0,0.0,0.0,,,,,,2015,DOMINION RESOURCES INC,100.0,58364.058,957867.8
45391.75,1003536,Winfield Solid Waste Facility,,,,,,,,,,,,,2015,COLUMBIA COUNTY FL,100.0,45391.75,0.0
33966.982,1003537,Eastern Gas Transmission and Storage - Gilmore Station (Tran),,,,,,,,,,,,,2015,DOMINION RESOURCES INC,100.0,33966.982,0.0
59542.28,1003539,"HILL LAKE GAS STORAGE, LLC",,,,,,,,,,,,,2015,NORTEX MIDSTREAM PARTNERS LLC,100.0,59542.28,0.0
60630.5,1003540,HURON LANDFILL CORPORATION,,,,,,,,,,,,,2015,BAD AXE PROPERTY CORP ,100.0,60630.5,0.0
29024.046,1003541,Eastern Gas Transmission and Storage - Lebanon Station (Tran),,,,,,,,,,,,,2015,DOMINION RESOURCES INC,100.0,29024.046,0.0
30288.218,1003542,Metro Nashville District Energy System,,,,,,,,,,,,,2015,METRO NASHVILLE DISTRICT ENERGY SYSTEM,100.0,30288.218,0.0
26552.5,1003543,BROWARD COUNTY LANDFILL,,,,,,,,,,,,,2015,BROWARD COUNTY SOLID WASTE & RECYCLING SERVICES,100.0,26552.5,0.0
114719.95,1003544,"DISPOSAL SERVICE, INC. SANITARY LANDFILL",,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,114719.95,0.0
71229.412,1003545,"Horn Mountain MMS Platform ID 02481, Complex ID 876-1",,,,,,,,,,,,,2015,FREEPORT MCMORAN COPPER & GOLD,100.0,71229.412,0.0
65223.75,1003548,DIVISION OF WILDLIFE RESOURCES LEEKAY LANDFILL,,,,,,,,,,,,,2015,STATE OF UTAH DIV OF WILDLIFE RESOURCES,100.0,65223.75,0.0
33789.572,1003550,KANSAS STATE UNIV MAIN CAMPUS,,,,,,,,,,,,,2015,STATE OF KANSAS,100.0,33789.572,0.0
71653.78,1003551,BASF CORPORATION,,,,,,,,,,,,,2015,BASF CORP,100.0,71653.78,0.0
91316.118,1003552,"Holstein, MMS Platform ID 02481, Complex ID 1035-1",,,,,,,,,,,,,2015,FREEPORT MCMORAN COPPER & GOLD,100.0,91316.118,0.0
55763.454,1003553,Texas Gas Transmission - Bald Knob Station,,,,,,,,,,,,,2015,LOEWS CORP,100.0,55763.454,0.0
41124.148,1003554,Texas Gas Transmission - Bastrop Station,,,,,,,,,,,,,2015,LOEWS CORP,100.0,41124.148,0.0
180833.212,1003555,"Thunder Horse, MMS Platform ID 02481, Complex ID 1101-1",,,,,,,,,,,,,2015,BP AMERICA INC; EXXON MOBIL CORP,75.0; 25.0,180833.212,0.0
13587.572,1003556,WASTE MGMT DSPL SVC OF PA POTTSTOWN LDFL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,13587.572,0.0
93196.418,1003557,TEXAS GAS TRANSMISSION - GREENVILLE STATION,,,,,,,,,,,,,2015,LOEWS CORP,100.0,93196.418,0.0
,1003558,Waterville Gas & Oil Company,0.0,0.0,0.0,41121.4,0.0,0.0,0.0,,,,,,2015,WATERVILLE GAS & OIL CO,100.0,0.0,41121.4
162265.646,1003559,"Nakika, MMS Platform ID 02481, Complex ID 1001-1",,,,,,,,,,,,,2015,SHELL OIL CO; BP AMERICA INC,50.0; 50.0,162265.646,0.0
74873.7,1003560,SOUTHEAST COUNTY LANDFILL,,,,,,,,,,,,,2015,HILLSBOROUGH COUNTY,100.0,74873.7,0.0
1195785.657,1003562,ALCOA INTALCO WORKS,,,,,,,,,,,,,2015,ALCOA INC,100.0,1195785.657,0.0
1158951.096,1003564,Marathon El Paso Refinery,0.0,0.0,0.0,0.0,0.0,0.0,16679187.9,,,,,,2015,WESTERN REFINING INC,100.0,1158951.096,16679187.9
76442.998,1003565,SAN JUAN COUNTY REGIONAL LANDFILL,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,76442.998,0.0
92523.05,1003566,CONCORD TURNPIKE REGIONAL LANDFILL,,,,,,,,,,,,,2015,Region 2000 Services Authority,100.0,92523.05,0.0
15319.692,1003567,JOHNS MANVILLE,,,,,,,,,,,,,2015,BERKSHIRE HATHAWAY INC,100.0,15319.692,0.0
379087.854,1003568,Molson Coors USA LLC - Golden Brewery,,,,,,,,,,,,,2015,GDF SUEZ ENERGY NORTH AMERICA INC,100.0,379087.854,0.0
63612.634,1003569,SUPERIOR LANDFILL & RECYCLING CENTER,,,,,,,,,,,,,2015,WASTE MANAGEMENT INC,100.0,63612.634,0.0
112093.324,1003570,Albemarle Corporation Bayport Plant,,,,,,,,,,,,,2015,ALBEMARLE CORP,100.0,112093.324,0.0
34247.75,1003571,PREBLE COUNTY SANITARY LANDFILL *,,,,,,,,,,,,,2015,PREBLE COUNTY BOARD OF COMMISSIONERS,100.0,34247.75,0.0
,1003572,Greenville Utilities Commission,0.0,0.0,0.0,169246.3,0.0,0.0,0.0,,,,,,2015,GREENVILLE UTILITIES COMMISSION,100.0,0.0,169246.3
134961.192,1003573,"Flint Hills Resources Iowa Falls, LLC",,,,,,,,,,,,,2015,KOCH INDUSTRIES INC,100.0,134961.192,0.0
44866.696,1003574,EGAN,,,,,,,,,,,,,2015,Spectra Energy,100.0,44866.696,0.0
,1003576,Rochester Gas & Electric Corp,0.0,0.0,0.0,2808871.0,0.0,0.0,0.0,,50543.3,,,,2015,IBERDROLA USA INC,100.0,50543.3,2808871.0
34397.148,1003577,GERDAU AMERISTEEL US INC,,,,,,,,,,,,,2015,GERDAU USA INC,100.0,34397.148,0.0
72116.938,1003578,Platform Gail,,,,,,,,,,,,,2015,VENOCO INC ,100.0,72116.938,0.0
36861.87,1003579,Chunchula Gas Plant,0.0,0.0,71987.2,0.0,0.0,0.0,0.0,,,,,,2015,CHEVRON CORP,100.0,36861.87,71987.2
47737.572,1003580,VINTON STEEL LLC,,,,,,,,,,,,,2015,ARCELORMITTAL USA,100.0,47737.572,0.0
106507.548,1003581,Cleveland-Cliffs Tek Inc. and Cleveland-Cliffs Kote Inc.,,,,,,,,,,,,,2015,ARCELORMITTAL USA; NIPPON STEEL USA,55.0; 45.0,106507.548,0.0
